acronym	name	where
Informed ML for Complex Data@ESANN 2024	Informed Machine Learning for Complex Data special session at ESANN 2024	Bruges, Belgium
ESANN 2024	32nd European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning	Bruges, Belgium
 WSPML  2024	2024 2nd International Workshop on Signal Processing and Machine Learning	Online
CCAT--EI 2024	2024 the 3rd International Conference on Computer Application Technology (CCAT 2024)	Wenzhou, China
MDIS 2024	International Conference on Modelling and Development of Intelligent Systems	Sibiu, Romania
ICCNS 2024	The International Conference on Intelligent Computing, Communication, Networking and Services	Dubrovnik, Croatia 
ML-DE@ECAI 2024	Machine Learning Meets Differential Equations: From Theory to Applications	ECAI, Santiago de Compostela, Spain
ICDSA 2024	5th International Conference on Data Science and Applications	MNIT Jaipur, India
ICMV 2024	17th International Conference on Machine Vision	 Edinburgh, UK
ACM ICAAI 2024	ACM--2024 The 8th International Conference on Advances in Artificial Intelligence (ICAAI 2024)	London, UK
ACM CSAI 2024	ACM--2024 8th International Conference on Computer Science and Artificial Intelligence (CSAI 2024)	Beijing, China
iiWAS 2024	The 26th International Conference on Information Integration and Web Intelligence	Bratislava, Slovakia
WMLQ 2024	2nd International Workshop on Machine Learning and Quantum Computing Applications in Medicine and Physics	Warsaw, Poland
TENCON 2024	IEEE Region 10 Conference	Singapore
ICCPR 2024	ACM--2024 13th International Conference on Computing and Pattern Recognition (ICCPR 2024)	Tianjin, China
FMLDS 2024	International Conference on Future Machine Learning and Data Science	Sydney
ICONIP 2024	31st International Conference on Neural Information Processing	Auckland, New Zealand
AITA 2024	2nd International Conference on Artificial Intelligence: Theory and Applications	IBS Bangalore, India
IOTSMS 2024	The 11th International Conference on Internet of Things: Systems, Management and Security	MalmÃ¶, Sweden
DTMO 2024	Digital Twins for modeling and optimization of manufacturing system operation	N/A
DSAI 2024	2nd International Conference on Data Science and Artificial Intelligence	Medan, Indonesia
IEEE ICEBE 2024	20th IEEE International Conference on e-Business Engineering	Fudan University, Shanghai, China
NLPIR 2024	ACM--2024 8th International Conference on Natural Language Processing and Information Retrieval (NLPIR 2024)	Okayama, Japan
ACML 2024	16th Asian Conference on Machine Learning	Hanoi, Vietnam
CIS 2024	5th Congress on Intelligent Systems 	Bengaluru, India
CIIS 2024	ACM--2024 7th International Conference on Computational Intelligence and Intelligent Systems (CIIS 2024)	Nagoya, Japan
ISCMI 2024	2024 11th International Conference on Soft Computing & Machine Intelligence (ISCMI 2024)	Melbourne, Australia
CRET--EI 2024	2024 International Conference on Control, Robotics Engineering and Technology (CRET 2024)	Milan, Italy
ICDM 2024	IEEE International Conference on Data Mining	Abu Dhabi, UAE
AIAT--EI 2024	2024 4th International Conference on Artificial Intelligence and Application Technologies (AIAT 2024)	Yokohama, Japan
IEEE ICCR 2024	IEEE--2024 6th International Conference on Control and Robotics (ICCR 2024)	Yokohama, Japan
MLTEEF 2024	Machine Learning Technologies on Energy Economics and Finance	Book Proposal
ICMLA 2024	23rd International Conference on Machine Learning and Applications	Miami, Florida
EAIH 2024	Explainable AI for Health	N/A
BDCAT 2024	IEEE/ACM Intâl Conf. on Big Data Computing, Applications, and Technologies	Sharjah, UAE
IEETeL 2024	15th International workshop on Interactive Environments and Emerging Technologies for eLearning	Paris, France
IEEE ICA 2022	The 6th IEEE International Conference on Agents	Adelaide, Australia
DataMod 2024	12th International Symposium DataMod 2024: From Data to Models and Back	Aveiro, Portugal
LAJC 2024	Latin-American Journal of Computing	N/A
CSCT 2024	Congress on Smart Computing Technologies	Sikkim, India
MLIS 2024	The 6th International Conference on Machine Learning and Intelligent Systems (MLIS 2024)	Universiti Tunku Abdul Rahman, Malaysia
ITNG 2024	The 21st Int'l Conf. on Information Technology: New Generations                          ITNG 2024	Las Vegas
IITUPC 2024	Immunotherapy and Information Technology: Unleashing the Power of Convergence	N/A
IITUPC 2024	Immunotherapy and Information Technology: Unleashing the Power of Convergence	N/A
AdNLP  2024	5th International conference on Advanced Natural Language Processing	Vancouver, Canada
BIOS 2024	10th International Conference on Bioinformatics & Biosciences 	Toronto, Canada
CYBI 2024	11th International Conference on Cybernetics & Informatics	Melbourne, Australia
DMA 2024	10th International Conference on Data Mining and Applications	Melbourne, Australia
CE 2024	8th International Conference on Civil Engineering	Copenhagen, Denmark
AMLA  2024	5th International Conference on Advanced Machine Learning	Sydney, Australia
NMOCT 2024	10th International Conference on Networks, Mobile Communications and Telematics	Toronto, Canada
IPDCA 2024	13th International conference on Parallel, Distributed Computing and Applications 	Sydney, Australia
SNLP 2024	5th International Conference on Semantic & Natural Language Processing	Copenhagen, Denmark
BMLI 2024	5th International Conference on Big Data, Machine Learning and IoT 	Copenhagen, Denmark
SIPRO 2024	10th International Conference on Signal and Image Processing	Zurich, Switzerland
CACIT 2024	4th International Conference on Advances in Computing & Information Technologies	Copenhagen, Denmark
FCST 2024	12th International Conference on Foundations of Computer Science & Technology	Copenhagen, Denmark
ArIT  2024	5th International Conference on Advances in Artificial Intelligence Techniques	London, United Kingdom
CoSIT 2024	11th International Conference on Computer Science and Information Technology	Melbourne, Australia
CSITA 2024	10th International Conference on Computer Science, Information Technology and Applications 	Vienna, Austria
VLSICS 2024	International Journal of VLSI design & Communication Systems  	N/A
GRAPH-HOC 2024	16th International Conference on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks	London, United Kingdom
DMSE  2024	5th International Conference on Data Mining and Software Engineering	London, United Kingdom
ITCA  2024	12th International Conference of Information Technology, Control and Automation 	Copenhagen, Denmark
AIAPP 2024	11th International Conference on Artificial Intelligence and Applications	Melbourne, Australia
NLPD  2024	5th International Conference on NLP & Big Data	London, United Kingdom
CMLA 2024	6th International Conference on Machine Learning & Applications	London, United Kingdom
CSIT 2024	11th International Conference on Computer Science and Information Technology	Sydney, Australia
CSITEC 2024	10th International Conference on Computer Science, Information Technology	Sydney, Australia
BIoT 2024	5th International Conference on Block chain and Internet of Things	Zurich, Switzerland
AI  2024	10th International Conference on Artificial Intelligence and Applications	London, United Kingdom
MEC 2024	8th International Conference on Trends in Mechanical Engineering 	Virtual Conference
IPPR 2024	10th International Conference on Image Processing and Pattern Recognition	Sydney, Australia
SIPM 2024	12th International Conference on Signal Image Processing and Multimedia	Copenhagen, Denmark
SIGL 2024	11th International Conference on Signal and Image Processing	Melbourne, Australia
CIRSY 2024	10th International Conference on Circuits and Systems	Copenhagen, Denmark
AE 2024	8th International Conference on Advances in Engineering	Copenhagen, Denmark
CIOS 2024	2nd International Conference on Cloud, IoT and Security	Virtual Conference
ADCO 2024	11th International Conference on Advanced Computing	Sydney, Australia
IJMPICT 2024	International Journal of Managing Public Sector Information and Communication Technologies	N/A
CSEAI 2024	2nd International Conference on Computer Science, Engineering and Artificial Intelligence	Virtual Conference
GRAPH-HOC 2024	16th International Conference on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks	London, United Kingdom
ECIJ 2024	Electrical & Computer Engineering: An International Journal	N/A
NLPI  2024	5th International Conference on NLP & Information Retrieval	Sydney, Australia
SAI 2024	13th International Conference on Soft Computing, Artificial Intelligence and Applications	Vancouver, Canada
MLAIJ 2024	Machine Learning and Applications: An International Journal 	N/A
MathSJ 2024	Applied Mathematics and Sciences: An International Journal 	N/A
IJCIS 2024	International Journal on Cryptography and Information Security 	N/A
CSEIT 2024	11th International Conference on Computer Science, Engineering and Information Technology	London, United Kingdom
BDAP 2024	International Conference on Big Data and Applications	Sydney, Australia
CSITEC 2024	10th International Conference on Computer Science, Information Technology	Sydney, Australia
ArIT  2024	5th International Conference on Advances in Artificial Intelligence Techniques	London, United Kingdom
SIGL 2024	11th International Conference on Signal and Image Processing	Melbourne, Australia
MaVaS 2024	10th International Conference of Managing Value and Supply Chains	Toronto, Canada
IJAIA 2024	International Journal of Artificial Intelligence & Applications - H Index - 36	N/A
NLPML 2024	5th International Conference on Natural Language Processing and Machine Learning	Melbourne, Australia
DKMP  2024	12th Conference on Data Mining & Knowledge Management Process	Zurich, Switzerland
SPM 2024	11th International Conference on Signal, Image Processing and Multimedia 	London, United Kingdom
SAIM 2024	5th International Conference on Soft Computing, Artificial Intelligence and Machine Learning	Copenhagen, Denmark
ANaNO 2024	International Conference on Advanced Nanoscience and Technology 	Virtual Conference
NeTCoM 2024	16th International Conference on Networks & Communications	London, United Kingdom
NLPI 2024	5th International Conference on NLP & Information Retrieval	Sydney, Australia
IJCCMS 2024	International Journal of Chaos, Control, Modelling and Simulation 	N/A
NLCAI 2024	5th International Conference on Natural Language Computing and AI	Zurich, Switzerland
ACSIT 2024	12th International Conference of Advanced Computer Science & Information Technology	Copenhagen, Denmark
CMCA 2024	13th International Conference on Control, Modelling, Computing and Applications	Sydney, Australia
ASUC 2024	15th International Conference on Ad hoc, Sensor & Ubiquitous Computing	Vancouver, Canada
AIMLNET 2024	4th International conference on AI, Machine Learning in Communications and Networks 	London, United Kingdom
CSEIT 2024	11th International Conference on Computer Science, Engineering and Information Technology	London, United Kingdom
DMML 2024	5th International Conference on Data Mining & Machine Learning 	Sydney, Australia
IJFCST 2024	International Journal on Foundations of Computer Science & Technology	N/A
ICAITA 2024	13th International Conference on Advanced Information Technologies and Applications	Vancouver, Canada
SCDD 2024	International Conference on Soft Computing, Data mining and Data Science	Virtual Conference
AIS 2024	10th International Conference on Artificial Intelligence and Soft Computing	Sydney, Australia
NSEC 2024	8th International Conference on Networks and Security	Copenhagen, Denmark
CSIP 2024	11th International Conference on Signal Processing	Copenhagen, Denmark
CHENG  2024	International Conference on Advances in Chemistry & Chemical Engineering 	Virtual Conference
HAS  2024	International Conference on Humanities, Art and Social Studies	Virtual Conference
WiMoNe  2024	16th International Conference on Wireless & Mobile Networks	London, United Kingdom
SAI 2024	13th International Conference on Soft Computing, Artificial Intelligence and Applications	Vancouver, Canada
AIFU 2024	10th International Conference on Artificial Intelligence and Applications	Zurich, Switzerland
SPTM 2024	12th International Conference of Security, Privacy and Trust Management	Sydney, Australia
EDUIT 2024	2nd International Conference on Education & Information Technology 	Copenhagen, Denmark
NCO 2024	10th International Conference on Networks and Communications	Vancouver, Canada
DMML 2024	5th International Conference on Data Mining & Machine Learning 	Sydney, Australia
AI 2024	10th International Conference on Artificial Intelligence and Applications	London, United Kingdom
CoNeCo 2024	16th International Conference on Computer Networks & Communications	Copenhagen, Denmark
CIoT 2024	6th International Conference on Internet of Things	London, United Kingdom
DMSE  2024	5th International Conference on Data Mining and Software Engineering	London, United Kingdom
CSTY 2024	10th International Conference on Computer Science and Information Technology	London, United Kingdom
ISDEA 2024	2024 3rd International Conference on Intelligent Systems Design and Engineering Applications (ISDEA 2024)	Tottori, Japan
IJCSIT 2024	International Journal of Computer Science and Information Technology - h-index 56	N/A
ICRAS 2024	IEEE--2024 8th International Conference on Robotics and Automation Sciences (ICRAS 2024)	Tokyo,Japan
ICRoM 2024	2024 the 6th International Conference on Robotics and Mechatronics (ICRoM 2024)	Cape Town, South Africa
RSAE 2024	ACM--2024 the 6th International Conference on Robotics Systems and Automation Engineering (RSAE 2024)	Tokyo,Japan
IEEE CCAI 2024	2024 IEEE the 4th International Conference on Computer Communication and Artificial Intelligence (CCAI 2024)	Xidian University, Xi'an, China
SIPIJ 2024	Signal & Image Processing : An International Journal - WJCI Listed, H index - 35	N/A
IJCGA 2024	International Journal of Computer Graphics & Animation 	N/A
ACM BDSIC 2024	ACM--2024 6th International Conference on Big-data Service and Intelligent Computation (BDSIC 2024)	Hong Kong
IJCSES 2024	International Journal of Computer Science and Engineering Survey	N/A
ACM ICHMI 2024	ACM--2024 4th International Conference on HumanâMachine Interaction (ICHMI 2024)	Xi'an, China
IJCSITCE 2024	The International Journal of Computational Science, Information Technology and Control Engineering 	N/A
ACM ICSED 2024	ACM--2024 6th International Conference on Software Engineering and Development (ICSED 2024)	Hong Kong
IJME 2024	International Journal of Microelectronics Engineering 	N/A
IJCI 2024	Call for Conference Proceedings - International Journal on Cybernetics & Informatics	N/A
ICMIMT 2024	IEEE--2024 15th International Conference on Mechanical and Intelligent Manufacturing Technologies (ICMIMT 2024)	Cape Town, South Africa
IJMA 2024	International Journal of Multimedia & Its Applications -- ERA Indexed	N/A
ACM ICMAI  2024	ACM--2024 9th International Conference on Mathematics and Artificial Intelligence (ICMAI 2024)	Beijing, China
IEEE SmartNets 2024	2024 IEEE International Conference on Smart Applications, Communications and Networking	Harrisonburg/Washington DC
ACM ICCTA 2024	ACM--2024 10th International Conference on Computer Technology Applications (ICCTA 2024)	Vienna, Austria
IEEE ICCAR 2024	IEEE--2024 10th International Conference on Control, Automation and Robotics (ICCAR 2024)	Singapore
BIOEJ 2024	Bioscience & Engineering: An International Journal 	N/A
ACII 2024	Advanced Computational Intelligence: An International Journal	N/A
WCSA 2024	2024 International Workshop on Control Sciences and Automation (WCSA 2024)	Singapore
CSIJ 2024	Circuits and Systems: An International Journal (CSIJ)	N/A
Effective Grant Writing Using AI 2024	Invitation to Faculty Development Program Effective Grant Writing Strategies Using AI	Online
CONECCT 2024	Conference of Opportunities for Networking, Excellence, Collaboration and Cooperation among Technologists	J.N.Tata Auditorium, IISc,India
UBISS 2024	12th International UBI Summer School	Oulu, Finland
AIME 2024	22nd International Conference of Artificial Intelligence in Medicine	Salt Lake City, UT, USA
AI Safety 2024	Special Issue for the Journal Frontiers in Robotics and AI on AI Safety: Safety Critical Systems	N/A
BioInfoMed 2024	Third International Symposium on Bioinformatics and Biomedicine	Burgas, Bulgaria
MIGARS 2024	International Conference on Machine Intelligence for GeoAnalytics and Remote Sensing	Wellington, New Zealand
AVSS 2024	20th IEEE International Conference on Advanced Video and Signal-Based Surveillance	Niagara Falls, Canada
ICAISE 2024	2024 3rd International Conference on Artificial Intelligence and Software Engineering (ICAISE 2024)	Singapore
Springer ISPR'2024	The 4'th International Conference on Intelligent Systems and Pattern Recognition	Istanbul, Turkey
ISPR 2024	4th International Conference on Intelligent Systems and Pattern Recognition	Istanbul, Turkey
KES 2024	28th International Conference on Knowledge-Based and Intelligent Information and Engineering Systems	Seville, Spain
ICANN 2024	33rd International Conference on Artificial Neural Networks	Lugano-Viganello, Switzerland
SEA4DQ 2024	4th International Workshop on Software Engineering and AI for Data Quality	Porto de Galinhas, Brazil
ISAI 2024	2024 the 4th International Symposium on AI (ISAI 2024)	Chengdu, China
SmartData 2024	10th IEEE International Conference on Smart Data	Copenhagen, Denmark
BCCA  2024	The Sixth International Conference on Blockchain Computing and Applications	Dubai. UAE
MIPR 2024	International Conference on Multimedia Information Processing and Retrieval 	San Jose, CA, USA
CFP-CIPCV-EI/SCOPUS 2024	2024 2nd International Conference On Intelligent Perception And Computer Vision	Xiamen, China
DSCC 2024	5th International Conference on Data Science and Cloud Computing	Dubai, UAE
MLBriefs 2024	4th IPOL â MLBriefs workshop of Reproducible Research	Gif-sur-Yvette (Paris suburbs), France
CSE 2024	12th International Conference on Computational Science and Engineering	Dubai, UAE
COMIT 2024	https://comit2024.org/	Chennai, India
NLDM 2024	International Conference on NLP & Data Mining	Chennai, India
SOFTFM 2024	3rd International Conference on Software Engineering Advances and Formal Methods 	Chennai, India
AISO 2024	10th International Conference on Artificial Intelligence and Soft Computing 	Chennai, India
AI & FL 2024	3rd International Conference of Multidisciplinary & Interdisciplinary Bioscience	Dubai, UAE
CRBL  2024	International Conference on Cryptography and Blockchain	Chennai, India
NLPTT 2024	5th International Conference on NLP Trends & Technologies	Dubai, UAE
SCOM 2024	12th International Conference on Soft Computing	 Dubai, UAE
IJP2P 2024	International Journal of Peer-to-Peer networks	N/A
IJSCAI 2024	International Journal on Soft Computing, Artificial Intelligence and Applications 	N/A
AMS 2024	Advanced Medical Sciences: An International Journal	N/A
EEIEJ 2024	Emerging Trends in Electrical, Electronics & Instrumentation Engineering: An international Journal	N/A
HIIJ 2024	Health Informatics: An International Journal	N/A
IJRAP 2024	International Journal of Recent advances in Physics 	N/A
NTIRE 2024	CVPR 2024 New Trends in Image Restoration and Enhancement workshop and challenges	Seattle, US
ELELIJ 2024	Electrical and Electronics Engineering:  An International Journal	N/A
MEIJ 2024	Mechanical Engineering: An International Journal 	N/A
MAI 2024	CVPR 2024 Mobile AI workshop and challenges	Seattle, US
ICCRE 2024	IEEE--2024 9th International Conference on Control and Robotics Engineering (ICCRE 2024)	Osaka University, Osaka, Japan
IEEE SEAI  2024	2024 4th IEEE International Conference on Software Engineering and Artificial Intelligence (SEAI 2024)	Xiamen, China
ACMLC--EI 2024	2024 6th Asia Conference on Machine Learning and Computing (ACMLC 2024)	Bangkok, Thailand
ICEIEC 2024	 2024 14th International Conference on Electronics Information and Emergency Communication	Beijing,China
ICMIM 2024	2024 The 6th International Conference on Materials and Intelligent Manufacturing (ICMIM 2024)	Inha University, Incheon, South Korea
IRCE 2024	IEEE--2024 7th International Conference on Intelligent Robotics and Control Engineering (IRCE 2024)	Xi'an, China
ISDFS 2024	12th International Symposium on Digital Forensics and Security	San Antonio, TX, USA
NLPAI 2024	2024 5th International Conference on Natural Language Processing and Artificial Intelligence (NLPAI 2024)	Chongqing, China
AIET 2024	Springer--2024 5th International Conference on Artificial Intelligence in Education Technology (AIET 2024)	Barcelona, Spain
IEISC 2024	2024 2nd Industrial Electronics and Intelligent Systems Conference (IEISC 2024)	Istanbul
Springer ICTEM 2024	Springer--2024 5th International Conference on Teaching and Education Management (ICTEM 2024)	Barcelona, Spain
ICPRS 2024	IEEE 14th International Conference on Pattern Recognition Systems	London, UK
PRML 2024	2024 the 5th International Conference on Pattern Recognition and Machine Learning (PRML 2024)	Chongqing, China
IWPR 2024	2024 9th International Workshop on Pattern Recognition (IWPR 2024)	Xiamen, China
ACKIM 2024	2024 2nd Asia Conference on Knowledge and Innovation Management (ACKIM 2024)	Bangkok, Thailand
ICCRI 2024	2024 the 7th International Conference on Control, Robotics and Informatics (ICCRI 2024)	Danang, Vietnam
MMCM@CVPR 2024	2nd IEEE Workshop on Multimodal Content Moderation (MMCM) @ CVPR 2024	Seattle WA, USA
CVMI@CVPR 2024	9th IEEE Workshop on Computer Vision for Microscopy Image Analysis (CVMI) @ CVPR 2024	Seattle WA, USA
TAA - LMHCU 2024	Towards an Automated Art? Learning Machines, Human Creativity and Uncertainty	Lisbon, Portugal
SCAI 2024	Scandinavian Conference on AI	JÃ¶nkÃ¶ping
ACDL 2024	7th Advanced Course on Data Science & Machine Learning	Tuscany, Italy
ACAIN 2024	4th Advanced Course  and Symposium on Artificial Intelligence and Neuroscience 	Riva del Sole Resort & SPA - Tuscany
FL@FM-ICME 2024	International Workshop on Federated Learning and Foundation Models for Multi-Media	Niagara Falls, ON, Canada
CONCEPTS 2024	1st International Joint Conference on Conceptual Knowledge Structures	Cadiz, Spain
i-Society 2024	The 17th International Conference on Information Society	Cambridge, UK
IEEE PRAI 2024	IEEE--2024 the 7th International Conference on Pattern Recognition and Artificial Intelligence (PRAI 2024)	Hangzhou, China
CSMO 2024	2024 8th International Conference on Simulation, Modeling and Optimization (CSMO 2024)	Hong Kong
ICIEM 2024	5th International Conference on Intelligent Engineering and Management	London, United Kingdom
Hong Kong-CSMO 2024	2024 8th International Conference on Simulation, Modeling and Optimization (CSMO 2024)	Hong Kong
Springer AIVR 2024	Springer--2024 8th International Conference on Artificial Intelligence and Virtual Reality (AIVR 2024)	Fukuoka, Japan
MLSP 2024	Multilingual Lexical Simplification Pipeline (MLSP) Shared Task @ 19th Workshop on Innovative Use of NLP for Building Educational Applications	Mexico City
IISA 2024	15th International Conference on Information, Intelligence, Systems and Applications	Chania, Crete, Greece
FAIML  2024	2024 3rd International Conference on Frontiers of Artificial Intelligence and Machine Learning	Chongqing, China
ICRIT 2024	2024 7th International Conference on Robotics and Intelligent Technology (ICRIT 2024)	Macau, China
ECTIJ 2024	Economics, Commerce and Trade Management: An International Journal 	N/A
IAIL 2024	Imaging the AI Landscape after the AI ACT	MalmÃ¶, Sweden
OPTLJ 2024	Integrated Optics and Lightwave : An International Journal	N/A
ICKD--EI 2024	2024 12th International Conference on Knowledge Discovery (ICKD 2024)	Macau S.A.R, China 
AIAAT 2024	2024 7th International Conference on Artificial Intelligence Applications and Technologies 	 Kuala Lumpur, Malaysia
FSTJ 2024	Food Science and Technology: An International Journal 	N/A
JARES 2024	International Journal of Advance Robotics & Expert Systems 	N/A
ICSTE 2024	2024 14th International Conference on Software Technology and Engineering (ICSTE 2024)	Macau, China
Scopus-AIAAT 2024	2024 7th International Conference on Artificial Intelligence Applications and Technologies 	Kuala Lumpur, Malaysia
AEROIJ 2024	Aerospace Engineering: An International Journal 	N/A
ABAW  2024	6th Workshop and Competition on Affective Behavior Analysis in-the-wild @ IEEE CVPR 2024	Seattle, USA
Scopus-AIAAT 2024	2024 7th International Conference on Artificial Intelligence Applications and Technologies 	Kuala Lumpur, Malaysia
BDAI 2024	IEEE--2024 7th International Conference on Big Data and Artificial Intelligence (BDAI 2024)	Beijing, China
JEDT 2024	International Journal of Electronic Design and Test	N/A
UMR 2024	UMR Parsing Workshop	Boulder, Colorado
PRIS 2024	Hongkong | 2024 6th International Conference on Pattern Recognition and Intelligent Systems (PRIS 2024)	Hongkong, China
IJAD 2024	International Journal of Advanced Dermatology 	N/A
ACM HPCCT 2024	ACM--2024 8th High Performance Computing and Cluster Technologies Conference (HPCCT 2024)	Beijing, China
ECOJ 2024	Ecology: An International Journal	N/A
AITIJ 2024	Advances in Interconnect Technologies: An International Journal	N/A
Hongkong PRIS 2024	2024 6th International Conference on Pattern Recognition and Intelligent Systems (PRIS 2024)	Hongkong, China
ICIIP--Scopus 2024	2024 13th International Conference on Intelligent Information Processing (ICIIP 2024)	Oxford, United Kingdom
JPS 2024	Journal of Political Science (JPS)	N/A
ICFIT 2024	2024 13th International Conference on Frontiers of Intelligent Technology (ICFIT 2024)--ESCI	Macau, China
MTAP special issue 2024	Heritage Preservation in the Digital Age: Advances in machine learning, monomodal and multimodal processing, and human-machine interaction	N/A
IDC 2024	Intelligent Distributed Computing	Brighton, U.K
ARISDE 2024	1st International Workshop on Artificial Intelligence for Sustainable Development	Sozopol, Bulgaria
ACM-EI/Scopus-ARAEML  2024	2024 International Conference on Advanced Robotics, Automation Engineering and Machine Learning (ARAEML 2024) -EI Compendex	Hangzhou, China
AITC 2024	2024 6th International Artificial Intelligence Technology Conference (AITC 2024)	Qingdao, China
IEEE COINS  2024	IEEE COINS 2024 - London, UK - July 29-31 - Hybrid (In-Person & Virtual)	Hybrid Event
ACM-Ei/Scopus-AI2A 2024	2024 4th International Conference on Artificial Intelligence, Automation and Automation (AI2A 2024) -EI Compendex	Shanghai, China
SPML 2024	ACM--2024 7th International Conference on Signal Processing and Machine Learning (SPML 2024)	Qingdao, China
REM 2024	IEEE International Conference on Research and Education in Mechatronics	Dead Sea, Jordan
CTISC 2024	2024 6th International Conference on Advances in Computer Technology, Information Science and Communications (CTISC 2024) -EI Compendex	Sanya, China
CVIV 2024	2024 6th International Conference on Advances in Computer Vision, Image and Virtualization (CVIV 2024) -EI Compendex	Sanya, China
ICAC 2024	The 29th International Conference on Automation and Computing 	Sunderland, UK
Horizon_ENFIELD 2024	Open Call for Proposals_Researchers Mobility Program	Europe
JDSA MSBE 2023	International Journal of Data Science and Analytics: Special Issue on Data Science and AI in Marine Science and Blue Economy	N/A
IEEE COINS 2024	6th IEEE International Conference on Omni-Layer Intelligent systems	London, United Kingdom
Curious 2024	CURIOUS2024Â­ FUTURE INSIGHTâ¢ CONFERENCE	Mainz, Germany (Rheingoldhalle) & online
ICSI 2024	The Fifteenth International Conference on Swarm Intelligence	Xining, China
ARISDE 2024	1st International Workshop on Artificial Intelligence for Sustainable Development	Virtual event
C3AI 2024	The International Conference on  Computing, Communication, Cybersecurity & AI	London, UK
Midwest CogSci 2024	Midwest Cognitive Science Conference 2024	Athens, Ohio, USA
ICACR--EI 2024	2024 the 8th International Conference on Automation, Control and Robots (ICACR 2024)	Xiangyang, China
NLPAICS 2024	First International Conference on Natural Language Processing  and Artificial Intelligence for Cyber Security	Lancaster, United Kingdom 
SNPD 2024	27th ACIS International Summer Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing	Beijing, China
PPSN 2024	18th International Conference on Parallel Problem Solving From Nature	Hagenberg, Austria
IEEE ICAIBD 2024	IEEE--2024 The 7th International Conference on Artificial Intelligence and Big Data (ICAIBD 2024)	Chengdu, China
IEEE ACIRS 2024	IEEE--2024 the 9th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2024)	Dalian, China
AIBT 2024	2024 The 3rd International Conference on Artificial Intelligence and Blockchain Technology (AIBT 2024)	Beijing, China
ACM ICMLT 2024	ACM--2024 9th International Conference on Machine Learning Technologies (ICMLT 2024)	Oslo, Norway
BDEE--EI 2024	2024 The 4th International Conference on Big Data Engineering and Education (BDEE 2024)	Chiangmai, Thailand
ICCSM 2024	2024 8th International Conference on Computer, Software and Modeling (ICCSM 2024)	Paris, France
ACM ICDLT 2024	ACM--2024 8th International Conference on Deep Learning Technologies (ICDLT 2024)	Suzhou, China
WCSE--EI 2024	2024 The 14th International Workshop on Computer Science and Engineering (WCSE 2024)	Phuket Island, Thailand
ICCIA--EI 2024	2024 9th International Conference on Computational Intelligence and Applications (ICCIA 2024)	Haikou, China
IEEE ICMAE 2024	IEEE--2024 15th International Conference on Mechanical and Aerospace Engineering (ICMAE 2024)	Zagreb, Croatia
IEEE ICoIAS 2024	IEEE--2024 the 7th International Conference on Intelligent Autonomous Systems (ICoIAS 2024)	Dalian, Liaoning, China
ICDD 2024	International Conference on Applied Informatics Imagination, Creativity, Design, Development	Sibiu, Romania
IEEE SMC 2024	IEEE International Conference on Systems, Man, and Cybernetics	Kuching, Sarawak, Malaysia
SIUSAI 2024	2024 3rd International Symposium on Intelligent Unmanned Systems and Artificial Intelligence(SIUSAI 2024)	Qingdao, China
IEEE ICWOC 2024	IEEE--2024 12th International Conference on Intelligent Computing and Wireless Optical Communications (ICWOC 2024)	Chongqing, China
HP3C 2024	ACM--2024 8th International Conference on High Performance Compilation, Computing and Communications (HP3C 2024)	Guangzhou, China
ICVR 2024	IEEE--2024 the 10th International Conference on Virtual Reality (ICVR 2024)	Bournemouth, United Kingdom
IEEE WSAI 2024	IEEE--2024 the 6th World Symposium on Artificial Intelligence (WSAI 2024)	Guangzhou, China
IEEE ICTLE 2024	IEEE--2024 12th International Conference on Traffic and Logistic Engineering (ICTLE 2024)	Macau, China
JCICE 2024	2024 International Joint Conference on Information and Communication Engineering(JCICE 2024)	Fuzhou, China
HUMAD 2024	[Scopus] [ACM] International Workshop on Human-Centered Modeling and Adaptation for Digital Transformation	Cagliari, Italy; also online
AIiH 2024	Artificial Intelligence in Healthcare	Swansea
NiDS 2024	International Conference on Novel and Intelligent Digital Systems	Athens, Greece (both in-person and onli)
IEEE ISNCC 2024	2024 International Symposium on Networks, Computers and Communications	Washington DC
EAMT  2024	The 25th Annual Conference of  The European Association for Machine Translation 	Sheffield, UK
IMSA,  Challenges of Intelligent Systems 2024	Intelligent Methods, Systems, and Applicationsâ 	Cairo, Egypt
BELIEF 2024	The 8th International Conference on Belief Functions	Belfast, Ulster University, Northern Ire
XR Salento  2024	International Conference on eXtended Reality 	Lecce, Italy
IEEE ESAS 2024	IEEE ESAS 2024: The 19th International Workshop on e-Health Systems & Web Technologies	Osaka, Japan
AAAC--EI 2024	2024 The 2nd Asian Aerospace and Astronautics Conference (AAAC 2024)	Nanjing, China
mSBW 2024	2024 International Mammalian Synthetic Biology Workshop (mSBW)	Boston, MA
SCA 2024	SMART CITY ASIA 2024	Saigon Exhibition and Convention Center 
IEEE ICACTE 2024	IEEE--2024 The 17th International Conference on Advanced Computer Theory and Engineering (ICACTE 2024)	Hefei, Anhui, China
ICAITE 2024	2024 the International Conference on Artificial Intelligence and Teacher Education (ICAITE 2024)	Beijing, China
